title,author,length
77. House of Earth and Blood,By: Sarah J. Maas,Length: 27 hrs and 50 mins
78. The Boys from Biloxi,By: John Grisham,Length: 17 hrs and 22 mins
79. The Housemaid's Secret,By: Freida McFadden,Length: 9 hrs and 44 mins
80. The Nightingale,By: Kristin Hannah,Length: 17 hrs and 19 mins
81. Things We Hide from the Light,By: Lucy Score,Length: 17 hrs and 36 mins
82. The Power of Now,By: Eckhart Tolle,Length: 7 hrs and 37 mins
83. Sapiens,By: Yuval Noah Harari,Length: 15 hrs and 18 mins
84. Local Woman Missing,By: Mary Kubica,Length: 11 hrs and 40 mins
"85. Hello, Molly!","By: Molly Shannon, Sean Wilsey",Length: 7 hrs and 5 mins
86. Burner,By: Mark Greaney,Length: 16 hrs and 38 mins
87. A Flicker in the Dark,By: Stacy Willingham,Length: 11 hrs and 6 mins
88. The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
89. Atlas of the Heart,By: Brené Brown,Length: 8 hrs and 29 mins
90. The Hunger Games: Special Edition,By: Suzanne Collins,Length: 10 hrs and 35 mins
91. A Court of Frost and Starlight,By: Sarah J. Maas,Length: 6 hrs and 23 mins
92. Attached,"By: Amir Levine, Rachel Heller",Length: 7 hrs and 4 mins
93. Horse,By: Geraldine Brooks,Length: 14 hrs and 6 mins
94. Ugly Love,By: Colleen Hoover,Length: 9 hrs and 14 mins
95. Throne of Glass,By: Sarah J. Maas,Length: 13 hrs and 3 mins
96. Catching Fire,By: Suzanne Collins,Length: 11 hrs and 3 mins
97. The Fellowship of the Ring,By: J. R. R. Tolkien,Length: 19 hrs and 7 mins
98. How to Talk to Anyone,By: Leil Lowndes,Length: 8 hrs and 59 mins
99. Breaking the Habit of Being Yourself,By: Joe Dispenza,Length: 10 hrs and 49 mins
100. Rich Dad Poor Dad,By: Robert T. Kiyosaki,Length: 6 hrs and 9 mins
