,date,home_team,score,away_team
528,11-03-2023,Celta,3 - 0,Vallecano
529,18-03-2023,Vallecano,2 - 2,Girona
530,03-04-2023,Valencia,1 - 1,Vallecano
531,09-04-2023,Vallecano,? - ?,Ath Madrid
532,13-08-2022,Valladolid,0 - 3,Villarreal
533,21-08-2022,Ath Madrid,0 - 2,Villarreal
534,28-08-2022,Getafe,0 - 0,Villarreal
535,04-09-2022,Villarreal,4 - 0,Elche
536,11-09-2022,Betis,1 - 0,Villarreal
537,18-09-2022,Villarreal,1 - 1,Sevilla
538,01-10-2022,Cadiz,0 - 0,Villarreal
539,09-10-2022,Sociedad,1 - 0,Villarreal
540,17-10-2022,Villarreal,2 - 0,Osasuna
541,20-10-2022,Barcelona,3 - 0,Villarreal
542,23-10-2022,Villarreal,2 - 1,Almeria
543,30-10-2022,Ath Bilbao,1 - 0,Villarreal
544,06-11-2022,Villarreal,0 - 2,Mallorca
545,09-11-2022,Espanol,0 - 1,Villarreal
546,31-12-2022,Villarreal,2 - 1,Valencia
547,07-01-2023,Villarreal,2 - 1,Real Madrid
548,13-01-2023,Celta,1 - 1,Villarreal
549,22-01-2023,Villarreal,1 - 0,Girona
550,30-01-2023,Villarreal,0 - 1,Vallecano
551,04-02-2023,Elche,3 - 1,Villarreal
552,12-02-2023,Villarreal,0 - 1,Barcelona
553,18-02-2023,Mallorca,4 - 2,Villarreal
554,27-02-2023,Villarreal,2 - 1,Getafe
555,04-03-2023,Almeria,0 - 2,Villarreal
556,12-03-2023,Villarreal,1 - 1,Betis
557,19-03-2023,Osasuna,0 - 3,Villarreal
558,02-04-2023,Villarreal,2 - 0,Sociedad
559,08-04-2023,Real Madrid,? - ?,Villarreal
