,date,home_team,score,away_team
116,11-09-2022,Betis,1 - 0,Villarreal
117,18-09-2022,Betis,2 - 1,Girona
118,02-10-2022,Celta,1 - 0,Betis
119,09-10-2022,Valladolid,0 - 0,Betis
120,16-10-2022,Betis,3 - 1,Almeria
121,19-10-2022,Cadiz,0 - 0,Betis
122,23-10-2022,Betis,1 - 2,Ath Madrid
123,30-10-2022,Sociedad,0 - 2,Betis
124,06-11-2022,Betis,1 - 1,Sevilla
125,10-11-2022,Valencia,3 - 0,Betis
126,29-12-2022,Betis,0 - 0,Ath Bilbao
127,08-01-2023,Vallecano,1 - 2,Betis
128,21-01-2023,Espanol,1 - 0,Betis
129,28-01-2023,Getafe,0 - 1,Betis
130,01-02-2023,Betis,1 - 2,Barcelona
131,04-02-2023,Betis,3 - 4,Celta
132,11-02-2023,Almeria,2 - 3,Betis
133,18-02-2023,Betis,2 - 1,Valladolid
134,24-02-2023,Elche,2 - 3,Betis
135,05-03-2023,Betis,0 - 0,Real Madrid
136,12-03-2023,Villarreal,1 - 1,Betis
137,19-03-2023,Betis,1 - 0,Mallorca
138,02-04-2023,Ath Madrid,1 - 0,Betis
139,09-04-2023,Betis,? - ?,Cadiz
140,14-08-2022,Cadiz,0 - 1,Sociedad
141,20-08-2022,Osasuna,2 - 0,Cadiz
142,29-08-2022,Cadiz,0 - 4,Ath Bilbao
143,02-09-2022,Celta,3 - 0,Cadiz
144,10-09-2022,Cadiz,0 - 4,Barcelona
145,16-09-2022,Valladolid,0 - 1,Cadiz
146,01-10-2022,Cadiz,0 - 0,Villarreal
147,09-10-2022,Cadiz,2 - 2,Espanol
148,15-10-2022,Girona,1 - 1,Cadiz
149,19-10-2022,Cadiz,0 - 0,Betis
150,22-10-2022,Vallecano,5 - 1,Cadiz
151,29-10-2022,Cadiz,3 - 2,Ath Madrid
152,05-11-2022,Getafe,0 - 0,Cadiz
153,10-11-2022,Real Madrid,2 - 1,Cadiz
154,30-12-2022,Cadiz,1 - 1,Almeria
155,06-01-2023,Valencia,0 - 1,Cadiz
156,16-01-2023,Cadiz,1 - 1,Elche
157,21-01-2023,Sevilla,1 - 0,Cadiz
158,28-01-2023,Cadiz,2 - 0,Mallorca
159,03-02-2023,Ath Bilbao,4 - 1,Cadiz
160,10-02-2023,Cadiz,2 - 0,Girona
161,19-02-2023,Barcelona,2 - 0,Cadiz
162,25-02-2023,Cadiz,1 - 0,Vallecano
163,03-03-2023,Sociedad,0 - 0,Cadiz
164,10-03-2023,Cadiz,2 - 2,Getafe
165,18-03-2023,Almeria,1 - 1,Cadiz
166,01-04-2023,Cadiz,0 - 2,Sevilla
167,09-04-2023,Betis,? - ?,Cadiz
168,13-08-2022,Celta,2 - 2,Espanol
169,20-08-2022,Celta,1 - 4,Real Madrid
170,26-08-2022,Girona,0 - 1,Celta
171,02-09-2022,Celta,3 - 0,Cadiz
172,10-09-2022,Ath Madrid,4 - 1,Celta
173,17-09-2022,Valencia,3 - 0,Celta
174,02-10-2022,Celta,1 - 0,Betis
175,09-10-2022,Barcelona,1 - 0,Celta
176,16-10-2022,Celta,1 - 2,Sociedad
