title,author,length
Now You See Me,D.K. Hood,Length: 7 hrs and 43 mins
Mac,Anna del Mar,Length: 11 hrs and 13 mins
The Boy Who Loved Wicked,C.P. Harris,Length: 8 hrs
Neural Wraith 2,K.D. Robertson,Length: 15 hrs and 56 mins
El camino de México [The Way to Mexico],Marcelo Ebrard,Length: 9 hrs and 48 mins
Hello Beautiful,Ann Napolitano,Length: 15 hrs and 6 mins
Not the Ones Dead,Dana Stabenow,Length: 9 hrs and 30 mins
One Bossy Date,Nicole Snow,Length: 15 hrs and 14 mins
Exposed,Ivy Smoak,Length: 9 hrs and 5 mins
Skull Road,Keith C. Blackmore,Length: 14 hrs and 38 mins
Of Slicing Men,Eric Ugland,Length: 10 hrs and 30 mins
The Art of Living,Thích Nhất Hạnh,Length: 5 hrs and 1 min
Signals of Transcendence,Os Guinness,Length: 4 hrs and 51 mins
Nondual Love,A. H. Almaas,Length: 6 hrs and 55 mins
Vacuuming in the Nude,Peggy Rowe,Length: 6 hrs and 7 mins
Poison Roses,"Tate James,Jaymin Eve",Length: 8 hrs and 25 mins
Heal the Witch Wound,Celeste Larsen,Length: 6 hrs and 47 mins
Dirty Truths,"Jaymin Eve,Tate James",Length: 8 hrs and 35 mins
A Damn Near Perfect Game,"Joe Kelly,Rob Bradford - contributor",Length: 6 hrs and 51 mins
Fateful Words,Paige Shelton,Length: 7 hrs and 34 mins
Glock Grannies: A Mystery for Every Season,Shannon VanBergen,Length: 11 hrs and 19 mins
The Ashes and the Star-Cursed King,Carissa Broadbent,Length: 14 hrs and 46 mins
It Calls from the Sea,Eerie River Publishing,Length: 11 hrs and 4 mins
The Moonlight Child,Karen McQuestion,Length: 9 hrs and 52 mins
Codependent No More,Melody Beattie,Length: 8 hrs and 42 mins
Unscripted,"James B. Stewart,Rachel Abrams",Length: 12 hrs and 23 mins
Awakened: The Ascendancy,Yuri Ajin,Length: 19 hrs and 12 mins
Lowcountry Getaway,Susan M. Boyer,Length: 4 hrs and 46 mins
The Black Farm,Elias Witherow,Length: 9 hrs and 39 mins
The Demon Skin,Dwight Holing,Length: 8 hrs and 13 mins
Loving Whiskey,Brittanee Nicole,Length: 12 hrs and 17 mins
"Fit, Fierce, and Fabulous over 50!",Karín Feltman RN,Length: 5 hrs and 42 mins
Never Saw You Coming,S L Scott,Length: 9 hrs and 49 mins
Trick of Light,Mary Calmes,Length: 3 hrs and 51 mins
Anything You Want,Derek Sivers,Length: 1 hr and 30 mins
Never Lie,Freida McFadden,Length: 7 hrs and 22 mins
The Innovator's Dilemma,Clayton M. Christensen,Length: 8 hrs and 37 mins
The Butterfly Garden,Dot Hutchison,Length: 9 hrs and 13 mins
The Tale of Despereaux,Kate DiCamillo,Length: 3 hrs and 30 mins
Call Me by Your Name,André Aciman,Length: 7 hrs and 48 mins
Destiny of the Republic,Candice Millard,Length: 9 hrs and 47 mins
Paper Princess,Erin Watt,Length: 9 hrs and 28 mins
"Heart of Stone: The Stone Series, Volume 1",Dakota Willink,Length: 13 hrs and 59 mins
The Dance of Anger,Harriet Lerner,Length: 6 hrs and 50 mins
"First, Break All the Rules","Marcus Buckingham,Gallup Press,Jim Harter - foreword",Length: 9 hrs and 51 mins
The Success Principles(TM) - 10th Anniversary Edition,"Jack Canfield,Janet Switzer",Length: 21 hrs and 46 mins
Love in the Time of Cholera,Gabriel García Márquez,Length: 15 hrs and 41 mins
The Dip,Seth Godin,Length: 1 hr and 32 mins
Island of the Blue Dolphins,Scott O'Dell,Length: 3 hrs and 55 mins
13 Hours,"Mitchell Zuckoff,Annex Security Team",Length: 7 hrs and 43 mins
Legacy,James Kerr,Length: 5 hrs and 33 mins
Who,"Geoff Smart,Randy Street",Length: 4 hrs and 47 mins
Total Recall,Arnold Schwarzenegger,Length: 23 hrs and 21 mins
Hidden Figures,Margot Lee Shetterly,Length: 10 hrs and 47 mins
Consider Phlebas,Iain M. Banks,Length: 16 hrs and 26 mins
An Unquiet Mind,Kay Redfield Jamison,Length: 2 hrs and 46 mins
The Rise of Theodore Roosevelt,Edmund Morris,Length: 26 hrs and 36 mins
The First Fifteen Lives of Harry August,Claire North,Length: 12 hrs and 10 mins
Escape from Mr. Lemoncello's Library,Chris Grabenstein,Length: 6 hrs and 19 mins
Stretch,Scott Sonenshein,Length: 7 hrs and 58 mins
Manufacturing Consent,"Edward S. Herman,Noam Chomsky",Length: 15 hrs and 24 mins
Rendezvous with Rama,Arthur C. Clarke,Length: 9 hrs and 4 mins
The Bassoon King,Rainn Wilson,Length: 8 hrs and 49 mins
The Big Picture,Sean Carroll,Length: 17 hrs and 22 mins
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,Length: 11 hrs and 27 mins
The Proper Care and Feeding of Husbands,Dr. Laura Schlessinger,Length: 2 hrs and 21 mins
The Danish Way of Parenting,"Jessica Joelle Alexander,Dissing Sandahl",Length: 3 hrs and 28 mins
Never Split the Difference,Chris Voss,Length: 8 hrs and 7 mins
All the Light We Cannot See,Anthony Doerr,Length: 16 hrs and 2 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
The First Tail,Taniko K Williams,Length: 16 hrs and 11 mins
Fahrenheit 451,Ray Bradbury,Length: 5 hrs and 1 min
LeBron,Jeff Benedict,Length: 17 hrs and 36 mins
Thanks for the Feedback,"Sheila Heen,Douglas Stone",Length: 9 hrs and 48 mins
Will I Ever Be Good Enough?,Karyl McBride,Length: 7 hrs and 25 mins
The City of Ember,Jeanne DuPrau,Length: 6 hrs and 50 mins
Just Kids,Patti Smith,Length: 9 hrs and 50 mins
The Outward Mindset,The Arbinger Institute,Length: 4 hrs and 22 mins
Star Guardians: The Complete Series,G J Ogden,Length: 47 hrs and 48 mins
The Aurora Project,Paul McGowan,Length: 7 hrs and 6 mins
Surrender,Bono,Length: 20 hrs and 25 mins
How to Win Friends & Influence People,Dale Carnegie,Length: 7 hrs and 15 mins
Dune,Frank Herbert,Length: 21 hrs and 2 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The Way of Kings,Brandon Sanderson,Length: 45 hrs and 30 mins
"Are You There God? It's Me, Margaret (Movie Tie-In Edition)",Judy Blume,Length: 3 hrs and 9 mins
Ready Player One,Ernest Cline,Length: 15 hrs and 40 mins
Principles,Ray Dalio,Length: 16 hrs and 5 mins
The Witching Hour,Anne Rice,Length: 50 hrs and 1 min
The Cloud Revolution,Mark P. Mills,Length: 17 hrs and 15 mins
Are You Fully Charged?,Tom Rath,Length: 3 hrs and 22 mins
The Vorrh,Brian Catling,Length: 17 hrs and 19 mins
"A Course in Miracles: Text, Vol. 1",Dr. Helen Schucman - scribe,Length: 37 hrs and 26 mins
Holly,Stephen King,Length: 16 hrs
The Jerusalem Scrolls,Gary McAvoy,Length: 7 hrs and 10 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
The Birdcage Murders,Karen Baugh Menuhin,Length: 8 hrs and 55 mins
Powerless,Elsie Silver,Length: 10 hrs and 25 mins
The Things We Make,Bill Hammack,Length: 7 hrs and 43 mins
God Is Not Great,Christopher Hitchens,Length: 8 hrs and 45 mins
Adult Daughters of Narcissistic Mothers,"Stephanie M. Kriesberg PsyD,Wendy T. Behary LCSW - foreword",Length: 5 hrs and 47 mins
A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins
Fool Hearts,Emmy Sanders,Length: 8 hrs and 24 mins
Full Catastrophe Living,Jon Kabat-Zinn,Length: 5 hrs and 59 mins
The Mammoth Hunters,Jean M. Auel,Length: 31 hrs and 44 mins
Let's Pretend This Never Happened,Jenny Lawson,Length: 8 hrs and 41 mins
March,Geraldine Brooks,Length: 10 hrs and 19 mins
Present over Perfect,Shauna Niequist,Length: 4 hrs and 44 mins
Optimize Your Health with Therapeutic Peptides,Jay Campbell,Length: 3 hrs and 1 min
Are You Fully Charged?,Tom Rath,Length: 3 hrs and 22 mins
The Vorrh,Brian Catling,Length: 17 hrs and 19 mins
"A Course in Miracles: Text, Vol. 1",Dr. Helen Schucman - scribe,Length: 37 hrs and 26 mins
Holly,Stephen King,Length: 16 hrs
The Jerusalem Scrolls,Gary McAvoy,Length: 7 hrs and 10 mins
A Short History of Nearly Everything,Bill Bryson,Length: 18 hrs and 13 mins
The Simple Path to Wealth,JL Collins,Length: 6 hrs and 38 mins
The Birdcage Murders,Karen Baugh Menuhin,Length: 8 hrs and 55 mins
Powerless,Elsie Silver,Length: 10 hrs and 25 mins
The Things We Make,Bill Hammack,Length: 7 hrs and 43 mins
God Is Not Great,Christopher Hitchens,Length: 8 hrs and 45 mins
Adult Daughters of Narcissistic Mothers,"Stephanie M. Kriesberg PsyD,Wendy T. Behary LCSW - foreword",Length: 5 hrs and 47 mins
A Hacker's Mind,Bruce Schneier,Length: 8 hrs and 3 mins
Fool Hearts,Emmy Sanders,Length: 8 hrs and 24 mins
Full Catastrophe Living,Jon Kabat-Zinn,Length: 5 hrs and 59 mins
The Mammoth Hunters,Jean M. Auel,Length: 31 hrs and 44 mins
Let's Pretend This Never Happened,Jenny Lawson,Length: 8 hrs and 41 mins
March,Geraldine Brooks,Length: 10 hrs and 19 mins
Present over Perfect,Shauna Niequist,Length: 4 hrs and 44 mins
Optimize Your Health with Therapeutic Peptides,Jay Campbell,Length: 3 hrs and 1 min
