,title,author,length
75,"16. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
76,17. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
77,18. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
78,19. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
79,20. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
80,1. Plays Well with Others,By: Eric Barker,Length: 6 hrs and 55 mins
81,2. Outlive,"By: Peter Attia MD, Bill Gifford - contributor",Length: 17 hrs and 7 mins
82,3. Atomic Habits,By: James Clear,Length: 5 hrs and 35 mins
83,4. Lessons in Chemistry,By: Bonnie Garmus,Length: 11 hrs and 55 mins
84,5. Spare,By: Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
85,6. I Will Find You,By: Harlan Coben,Length: 10 hrs and 16 mins
86,7. Greenlights,By: Matthew McConaughey,Length: 6 hrs and 42 mins
87,8. The Subtle Art of Not Giving a F*ck,By: Mark Manson,Length: 5 hrs and 17 mins
88,9. Hello Beautiful,By: Ann Napolitano,Length: 15 hrs and 6 mins
89,10. Remarkably Bright Creatures,By: Shelby Van Pelt,Length: 11 hrs and 16 mins
90,11. Daisy Jones & The Six,By: Taylor Jenkins Reid,Length: 9 hrs and 3 mins
91,12. I'm Glad My Mom Died,By: Jennette McCurdy,Length: 6 hrs and 26 mins
92,13. Can't Hurt Me,By: David Goggins,Length: 13 hrs and 37 mins
93,14. Demon Copperhead,By: Barbara Kingsolver,Length: 21 hrs and 3 mins
94,15. It Ends with Us,By: Colleen Hoover,Length: 11 hrs and 11 mins
95,"16. Harry Potter and the Sorcerer's Stone, Book 1",By: J.K. Rowling,Length: 8 hrs and 18 mins
96,17. The Seven Husbands of Evelyn Hugo,By: Taylor Jenkins Reid,Length: 12 hrs and 10 mins
97,18. Never Finished,By: David Goggins,Length: 11 hrs and 6 mins
98,19. Verity,By: Colleen Hoover,Length: 8 hrs and 10 mins
99,20. A Court of Thorns and Roses,By: Sarah J. Maas,Length: 16 hrs and 7 mins
